-160 = 224
Frame Count: 170, Latitude: 38.013349, Longitude: 23.753197, Altitude: 385.22699
Frame Count: 171, Latitude: 38.013349, Longitude: 23.753197, Altitude: 385.22699
Frame Count: 172, Latitude: 38.013355, Longitude: 23.7532, Altitude: 385.22699
Frame Count: 173, Latitude: 38.013355, Longitude: 23.7532, Altitude: 385.22699
Frame Count: 174, Latitude: 38.013362, Longitude: 23.753204, Altitude: 385.287994
Frame Count: 175, Latitude: 38.013362, Longitude: 23.753204, Altitude: 385.287994
Frame Count: 176, Latitude: 38.013362, Longitude: 23.753204, Altitude: 385.287994
Frame Count: 177, Latitude: 38.013369, Longitude: 23.753207, Altitude: 385.287994
Frame Count: 178, Latitude: 38.013369, Longitude: 23.753207, Altitude: 385.287994
Frame Count: 179, Latitude: 38.013375, Longitude: 23.75321, Altitude: 385.343994
Frame Count: 180, Latitude: 38.013375, Longitude: 23.75321, Altitude: 385.343994
Frame Count: 181, Latitude: 38.013382, Longitude: 23.753214, Altitude: 385.343994
Frame Count: 182, Latitude: 38.013382, Longitude: 23.753214, Altitude: 385.343994
Frame Count: 183, Latitude: 38.013382, Longitude: 23.753214, Altitude: 385.343994
Frame Count: 184, Latitude: 38.013389, Longitude: 23.753217, Altitude: 385.403015
Frame Count: 185, Latitude: 38.013389, Longitude: 23.753217, Altitude: 385.403015
Frame Count: 186, Latitude: 38.013396, Longitude: 23.75322, Altitude: 385.403015
Frame Count: 187, Latitude: 38.013396, Longitude: 23.75322, Altitude: 385.403015
Frame Count: 188, Latitude: 38.013396, Longitude: 23.75322, Altitude: 385.403015
Frame Count: 189, Latitude: 38.013402, Longitude: 23.753224, Altitude: 385.457001
Frame Count: 190, Latitude: 38.013402, Longitude: 23.753224, Altitude: 385.457001
Frame Count: 191, Latitude: 38.013402, Longitude: 23.753224, Altitude: 385.457001
Frame Count: 192, Latitude: 38.013409, Longitude: 23.753227, Altitude: 385.457001
Frame Count: 193, Latitude: 38.013409, Longitude: 23.753227, Altitude: 385.457001
Frame Count: 194, Latitude: 38.013416, Longitude: 23.75323, Altitude: 385.515015
